order_id,customer_id,date,discount_id
1,1,2017-02-01,1
2,1,2017-01-01,5
3,1,2018-03-01,5
4,1,2017-04-01,1
5,1,2017-03-01,3
6,1,2016-10-01,5
7,1,2017-06-01,5
8,1,2016-11-01,5
9,1,2017-02-01,3
10,1,2018-06-01,3
11,1,2018-12-01,5
12,1,2018-12-01,5
13,1,2016-12-01,1
14,1,2017-07-01,5
15,1,2017-06-01,1
16,1,2016-09-01,3
17,1,2017-05-01,3
18,1,2017-02-01,5
19,1,2016-05-01,3
20,1,2016-03-01,5
21,1,2017-10-01,5
22,1,2018-06-01,1
23,1,2016-07-01,1
24,1,2017-06-01,5
25,1,2016-11-01,3
26,1,2018-09-01,1
27,1,2017-06-01,5
28,1,2016-03-01,3
29,1,2017-08-01,5
30,1,2017-03-01,5
31,1,2018-02-01,5
32,1,2018-06-01,3
33,1,2018-12-01,3
34,1,2016-07-01,5
35,1,2017-11-01,1
36,1,2017-08-01,5
37,1,2016-06-01,3
38,1,2016-12-01,5
39,1,2016-10-01,3
40,1,2017-09-01,5
41,1,2017-10-01,5
42,1,2017-09-01,1
43,1,2017-08-01,3
44,1,2018-07-01,5
45,1,2016-01-01,5
46,1,2018-04-01,5
47,1,2016-03-01,5
48,1,2016-11-01,5
49,1,2016-12-01,5
50,1,2016-10-01,3
51,1,2016-07-01,3
52,1,2018-01-01,5
53,1,2017-07-01,5
54,1,2016-05-01,3
55,1,2017-04-01,5
56,1,2016-01-01,5
57,1,2016-05-01,3
58,1,2016-10-01,5
59,1,2017-02-01,5
60,1,2017-02-01,5
61,1,2017-01-01,3
62,1,2018-05-01,5
63,1,2017-12-01,5
64,1,2016-05-01,5
65,1,2016-02-01,3
66,1,2016-11-01,5
67,1,2017-11-01,5
68,1,2018-10-01,5
69,1,2016-12-01,5
70,1,2018-07-01,1
71,1,2017-02-01,5
72,1,2018-08-01,5
73,1,2016-06-01,5
74,1,2016-11-01,5
75,1,2016-06-01,5
76,1,2017-01-01,5
77,1,2017-04-01,5
78,1,2018-02-01,5
79,1,2018-05-01,1
80,1,2016-05-01,3
81,1,2017-07-01,3
82,1,2018-06-01,3
83,1,2016-03-01,5
84,1,2017-12-01,5
85,1,2016-07-01,1
86,1,2018-05-01,5
87,1,2018-09-01,5
88,1,2017-06-01,5
89,1,2017-10-01,5
90,1,2016-09-01,5
91,1,2016-08-01,1
92,1,2016-07-01,3
93,1,2018-11-01,3
94,1,2016-03-01,5
95,1,2017-02-01,1
96,1,2016-05-01,5
97,1,2016-02-01,5
98,1,2017-11-01,5
99,1,2016-03-01,5
100,1,2017-12-01,5
101,1,2016-07-01,5
102,1,2018-05-01,1
103,1,2016-03-01,3
104,1,2018-03-01,3
105,1,2018-12-01,1
106,1,2017-01-01,3
107,1,2016-02-01,3
108,1,2016-01-01,1
109,1,2016-05-01,5
110,1,2018-11-01,5
111,1,2016-10-01,3
112,1,2017-03-01,5
113,1,2016-10-01,5
114,1,2017-07-01,5
115,1,2017-08-01,3
116,1,2018-02-01,5
117,1,2017-04-01,3
118,1,2017-08-01,5
119,1,2018-05-01,1
120,1,2018-11-01,5
121,1,2018-07-01,5
122,1,2016-04-01,3
123,1,2017-12-01,5
124,1,2017-10-01,5
125,1,2017-06-01,3
126,1,2016-07-01,5
127,1,2017-12-01,5
128,1,2018-01-01,5
129,1,2017-02-01,3
130,1,2018-02-01,5
131,1,2016-03-01,5
132,1,2018-07-01,3
133,1,2018-05-01,1
134,1,2018-07-01,3
135,1,2018-04-01,5
136,1,2017-04-01,5
137,1,2017-10-01,5
138,1,2018-09-01,1
139,1,2016-05-01,5
140,1,2017-11-01,5
141,1,2016-04-01,1
142,1,2017-06-01,3
143,1,2017-08-01,5
144,1,2016-04-01,5
145,1,2016-05-01,3
146,1,2017-11-01,5
147,1,2018-04-01,3
148,1,2018-11-01,1
149,1,2017-10-01,5
150,1,2017-10-01,3
151,1,2016-01-01,3
152,1,2017-01-01,3
153,1,2016-11-01,3
154,1,2018-05-01,5
155,1,2018-09-01,5
156,1,2017-01-01,5
157,1,2016-07-01,5
158,1,2017-02-01,5
159,1,2016-10-01,3
160,1,2016-06-01,5
161,1,2016-09-01,5
162,1,2017-01-01,5
163,1,2016-09-01,5
164,1,2017-03-01,5
165,1,2016-02-01,5
166,1,2017-01-01,5
167,1,2016-01-01,5
168,1,2016-08-01,5
169,1,2017-02-01,5
170,1,2017-01-01,3
171,1,2017-03-01,1
172,1,2017-02-01,1
173,1,2017-10-01,3
174,1,2017-08-01,3
175,1,2017-01-01,5
176,1,2017-12-01,1
177,1,2017-04-01,3
178,1,2017-04-01,5
179,1,2018-09-01,5
180,1,2017-11-01,3
181,1,2017-01-01,3
182,1,2017-08-01,5
183,1,2017-07-01,5
184,1,2017-04-01,5
185,1,2018-07-01,3
186,1,2016-05-01,3
187,1,2017-03-01,3
188,1,2017-11-01,3
189,1,2018-03-01,5
190,1,2017-09-01,5
191,1,2017-07-01,5
192,1,2017-05-01,5
193,1,2018-03-01,5
194,1,2018-12-01,5
195,1,2016-06-01,1
196,1,2017-03-01,5
197,1,2018-05-01,3
198,1,2016-07-01,1
199,1,2016-02-01,5
200,1,2016-06-01,5
201,1,2018-03-01,5
202,1,2017-12-01,5
203,1,2017-10-01,5
204,1,2018-03-01,5
205,1,2017-12-01,5
206,1,2018-05-01,5
207,1,2018-06-01,5
208,1,2018-12-01,3
209,1,2018-02-01,5
210,1,2018-01-01,1
211,1,2018-10-01,3
212,1,2017-09-01,5
213,1,2018-01-01,5
214,1,2017-07-01,3
215,1,2017-07-01,5
216,1,2017-11-01,5
217,1,2018-05-01,5
218,1,2017-09-01,5
219,1,2018-08-01,5
220,1,2017-10-01,3
221,1,2017-07-01,5
222,1,2017-09-01,5
223,1,2018-05-01,5
224,1,2018-06-01,5
225,1,2018-01-01,5
226,1,2018-10-01,5
227,1,2018-04-01,5
228,1,2018-11-01,3
229,1,2018-04-01,5
230,1,2018-03-01,1
231,1,2018-12-01,1
232,1,2018-07-01,5
233,1,2018-02-01,3
234,1,2018-04-01,5
235,1,2018-09-01,5
236,1,2018-12-01,5
237,1,2018-02-01,3
238,1,2018-07-01,5
239,1,2018-12-01,3
240,1,2018-03-01,3
241,1,2018-05-01,1
242,1,2018-10-01,3
243,1,2018-08-01,5
244,1,2017-09-01,3
245,1,2016-10-01,3
246,1,2016-02-01,5
247,1,2016-07-01,5
248,1,2016-06-01,5
249,1,2016-11-01,1
250,1,2016-12-01,3
251,1,2017-02-01,5
252,1,2017-02-01,5
253,1,2017-07-01,5
254,1,2017-05-01,3
255,1,2018-04-01,5
256,1,2018-09-01,5
257,1,2018-10-01,5
258,1,2018-11-01,5
259,1,2018-07-01,5
260,1,2018-07-01,5
261,1,2018-11-01,5
262,1,2018-12-01,5
263,1,2018-09-01,5
264,1,2018-09-01,3
265,1,2018-07-01,5
266,1,2018-12-01,5
267,1,2018-10-01,5
268,1,2017-04-01,5
269,1,2016-09-01,1
270,1,2016-02-01,5
271,1,2016-07-01,5
272,1,2017-11-01,3
273,1,2016-09-01,5
274,1,2016-08-01,1
275,1,2018-12-01,5
276,1,2017-09-01,5
277,1,2017-11-01,5
278,1,2017-07-01,5
279,1,2017-10-01,1
280,1,2017-08-01,1
281,1,2017-01-01,5
282,1,2016-05-01,5
283,1,2016-05-01,3
284,1,2018-03-01,3
285,1,2016-01-01,5
286,1,2018-11-01,3
287,1,2016-02-01,5
288,1,2017-11-01,5
289,1,2018-04-01,5
290,1,2018-10-01,5
291,1,2017-10-01,5
292,1,2018-01-01,5
293,1,2017-07-01,1
294,1,2017-01-01,5
